image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1053 at 0x17929F65930>,is the hila normal or enlarged?,enlarged
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1295 at 0x17929F659C0>,what is happening in the right lung?,volume loss
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1295 at 0x17929F65A50>,what is finding in the right lung?,volume loss
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x17929F65AE0>,what is most alarming about the appendix?,extraluminal air and small fluid collection
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F65B70>,is the liver normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F65C00>,is this a normal image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x17929F65C90>,are the lungs normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x17929F65D20>,is the chest x-ray normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x848 at 0x17929F65DB0>,where is the mass?,extra-axial and at the right choroidal fissure
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929F65E40>,what can cause asymmetrical breasts?,prior surgery
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x503 at 0x17929F65ED0>,is there evidence of a pneumothorax,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x17929F65F60>,what type of image is this?,chest x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929F65FF0>,why are the breasts asymmetrical?,prior surgery
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x848 at 0x17929F66080>,is the mass enhancing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x815 at 0x17929F66110>,what organ is the mass in?,pancreas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x815 at 0x17929F661A0>,where is the mass?,pancreas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F66230>,what abnormalities are in the right upper quadrant?,gallstones
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F662C0>,what is in the right upper quadrant?,gallstones
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F66350>,which kidney is abnormal?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F663E0>,which kidney has abnormalities?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=513x513 at 0x17929F66470>,is there a pelvic fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F66500>,is this a study of the brain?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=534x666 at 0x17929F66590>,is this a ct image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x600 at 0x17929F66620>,what is the image suggestive of?,abscess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x600 at 0x17929F666B0>,what is the lesion most likely to be?,abscess
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F66740>,describe the lesions in the right kidney?,cystic lesions
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F667D0>,what is seen in the right kidney?,cystic lesions
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F66860>,did the patient have a cholecystectomy?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F668F0>,has the gallbladder been removed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x600 at 0x17929F66980>,is there evidence of enhancement?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x600 at 0x17929F66A10>,is the lesion enhancing?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F66AA0>,is there contrast given?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F66B30>,is this a ct scan?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x17929F66BC0>,is this an anterior-posterior image,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x17929F66C50>,describe the appendix,"enlarged, fluid-filled"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F66CE0>,are there 2 kidneys?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F66D70>,are there normal number of kidneys?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x17929F66E00>,where is the mass?,pancreatic body
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F66E90>,where is the abnormality?,right lobe of the liver
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F66F20>,where is the hypodensity located?,right lobe of the liver
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x17929F66FB0>,which hemisphere is the ischemia located?,right hemisphere
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x17929F67040>,where is the abnormality?,right pca
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x17929F670D0>,is the mass homogeneous?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x709 at 0x17929F67160>,where is the abnormality in this image?,basal ganglia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=534x666 at 0x17929F671F0>,in what plane is this image oriented?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929F67280>,where is the catheter tip located?,right superior cavoatrial junction
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929F67310>,where does the catheter tip extend into?,right superior cavoatrial junction
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1020 at 0x17929F673A0>,does the mass affect neighboring structure?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1020 at 0x17929F67430>,is there mass effect?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x848 at 0x17929F674C0>,is this image normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=513x513 at 0x17929F67550>,is the small bowel filled with contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=513x513 at 0x17929F675E0>,is the cecum dilated,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x17929F67670>,what does the abnormality suggest?,ischemia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x17929F67700>,what causes the hyperintensity?,ischemia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x17929F67790>,is there fat stranding?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=534x666 at 0x17929F67820>,is there a skull fracture pictured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1053 at 0x17929F678B0>,is the heart abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1053 at 0x17929F67940>,does the heart appear enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1020 at 0x17929F679D0>,where is the mass?,suprasellar cistern
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x1020 at 0x17929F67A60>,where is the mass located?,suprasellar cistern
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929F67AF0>,which plane is the image taken?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x17929F67B80>,where is this plane relative to the eyes?,above
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x17929F67C10>,how was this x-ray taken?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=420x512 at 0x17929F67CA0>,which ribs are located near the abnormality seen in this image?,4th and 5th
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=420x512 at 0x17929F67D30>,what level is the abnormality located at?,t5
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=673x827 at 0x17929F67DC0>,do the lung markings extend to the periphery?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x17929F67E50>,was the arterial contrast phase selected?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=673x827 at 0x17929F67EE0>,is a pneumothorax present in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x17929F67F70>,does the width of the heart exceed more than half of the thorax?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x17929F67FD0>,how wide is the cardiac shadow?,less than half the thorax
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=867x979 at 0x17929FCC0D0>,is the diaphragm obscured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=867x979 at 0x17929FCC160>,is the diaphragm clearly visualized on both sides?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17929FCC1F0>,are nodular calcifications present in the lungs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17929FCC280>,what lesions are present in the lungs?,none
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCC310>,how big is the liver lesion?,5 cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCC3A0>,what is the size of the mass lesion?,5 cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCC430>,what is the modality by which the image was taken?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x17929FCC4C0>,does this plane of section include the gastric cardia?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x17929FCC550>,are the calcifications superior or inferior to the diaphragm?,superior
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x17929FCC5E0>,where in the image are the calcifications located?,high on the image
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x17929FCC670>,where is the aortic arch?,right side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x17929FCC700>,which side of the image is the aortic arch visualized?,right side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x17929FCC790>,where is the lung lesion located?,right lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x17929FCC820>,which lobe of the lung is the lesion located in?,right upper lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17929FCC8B0>,do bones appear lighter on this image's modality?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x656 at 0x17929FCC940>,are the bowel loops on the right or left side of the patient?,left side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x656 at 0x17929FCC9D0>,where in this image are the bowel loops?,left side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x17929FCCA60>,is there evidence of periappendiceal fluid and fat stranding?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=986x1200 at 0x17929FCCAF0>,was this taken with good x ray penetration,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x17929FCCB80>,what indicates that appendicitis is present?,periappendiceal fluid and fat stranding
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x17929FCCC10>,is the appendix visualized with contrast?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x17929FCCCA0>,is there contrast in the appendix?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCCD30>,are any organs besides the intestines present in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCCDC0>,"besides the intestines, what other organs are present?",kidneys
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x514 at 0x17929FCCE50>,is a cystic cavity present in the left kidney on this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x514 at 0x17929FCCEE0>,is there a cyst in the left kidney?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x17929FCCF70>,is this in the lumbar vertebral level?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCD000>,is the pathologic part of this image the small bowel or colon?,small bowel
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCD090>,where is the intussesception located?,small bowel
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x17929FCD120>,are the common ileac arteries and veins patent in this section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1056 at 0x17929FCD1B0>,how many lesions are present in the image?,one
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1056 at 0x17929FCD240>,is there more that one lesion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x17929FCD2D0>,is the liver normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x17929FCD360>,is a ring enhancing lesion present in the right lobe of the liver?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x17929FCD3F0>,is the lesion on the patient's right or left side?,left side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x17929FCD480>,where on the image is the lesion?,left temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x17929FCD510>,what are the two major organs present in this image?,heart 	lungs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCD5A0>,is the liver abnormal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCD630>,are there any abnormal hypodense lesions in the liver?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCD6C0>,is the largest cyst in the left or right kidney?,left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x17929FCD750>,are the common iliac vasculature open?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCD7E0>,where is the largest cystic lesion in the image?,left kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x17929FCD870>,was oral or iv contrast used?,both
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCD900>,are the lesions in the image more or less dense than surrounding tissue?,more dense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCD990>,"what is denser, the cystic lesions or the kidney parenchyma?",cystic lesions
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x17929FCDA20>,is the primary abnormality more or less dense than surrounding matter?,less dense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x17929FCDAB0>,"what is denser, the mass or the surrounding brain tissue?",surrounding tissue
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x17929FCDB40>,is the lesion in this image more or less dense than the surrounding tissue?,less dense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x17929FCDBD0>,"what is denser, the lesion or the surrounding tissue?",the surrounding tissue
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x17929FCDC60>,was contrast applied?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x17929FCDCF0>,is this an ap image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17929FCDD80>,what type of imaging does this not represent?,ultrasound
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x17929FCDE10>,is the spleen normal size?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x17929FCDEA0>,are calcified lesions present in the lung fields?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x17929FCDF30>,is there evidence of large calcified lesions in the lung fields?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCDFC0>,what is the organ system visualized?,gastrointestinal
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929FCE050>,is the air under the left hemidiaphragm pathologic?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929FCE0E0>,is there free air under the left diaphragm?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x17929FCE170>,is this image of the thorax?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1056 at 0x17929FCE230>,where is the lesion?,right lower lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1056 at 0x17929FCE2F0>,which lung lobe is the lesion present in?,right lower lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x17929FCE380>,where is the aneurysm located?,in the thorasic aorta
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x17929FCE410>,what is the most important abnormality found in this image?,width of aorta
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x585 at 0x17929FCE4A0>,is the size of the spleen normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x17929FCE530>,at which rib is the lesion located?,7th rib
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x17929FCE5C0>,what rib is the lesion located inferior to?,7th rib
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=420x512 at 0x17929FCE650>,on which side is the cardiac border more obscured?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=420x512 at 0x17929FCE6E0>,where is the cardiac border more obscured?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x17929FCE770>,what organ system is primarily present in this image?,gastrointestinal
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x17929FCE800>,which side of the cardiac border is more prominent?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1089 at 0x17929FCE890>,which cardiac border is more prominently visualized?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x17929FCE920>,is this image a ct scan?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x17929FCE9B0>,is there evidence of hematoma?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x17929FCEA40>,is there blood present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x17929FCEAD0>,are there air fluid levels present in the small bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x17929FCEB60>,which lung has more extensive infiltration?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x17929FCEBF0>,where are the most infiltrates located?,left lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x17929FCEC80>,how would you describe the duodenum?,edematous
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x17929FCED10>,is the duodenum edematous?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x17929FCEDA0>,is the largest air collection on the patient's left or the right side?,right side
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x17929FCEE30>,where is the largest air collection in this image?,right lung base
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=867x979 at 0x17929FCEEC0>,what is the location of the primary lesion?,right lung hilum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x17929FCEF50>,is the air under the left hemidiaphragm pathologic?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=987x1200 at 0x17929FCEFE0>,is subdiaphragmatic air present on the left side?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x17929FCF070>,which side is the lateral ventricle visible on?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x17929FCF100>,is there contrast material showing air-fluid levels in the small bowel,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=777x686 at 0x17929FCF190>,where is the lateral ventricle?,left hemisphere
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCF220>,where is the lesion located?,right lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x17929FCF2B0>,which liver lobe is the lesion in?,right lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x514 at 0x17929FCF340>,is there an intussusception present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=708x514 at 0x17929FCF3D0>,is there evidence of intussusception on the right side?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x17929FCF460>,is there a mass in the right hilum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=288x287 at 0x17929FCF4F0>,is there evidence of a mass lesion at the right hilum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x17929FCF580>,is there a fracture on the left 5th rib?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x17929FCF610>,is the left fifth rib broken?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x17929FCF6A0>,is subcutaneous air present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x17929FCF730>,is/are the mass located near/in the mid brain?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=419x512 at 0x17929FCF7C0>,is there evidence of subcutaneous air collection?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17929FCF850>,are any ribs in the image fractured?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17929FCF8E0>,are there any fractures present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929FCF970>,is the opacity near the left lung apex pathologic?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929FCFA00>,what is the opacity near the left lung apex?,pacemaker
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1309 at 0x17929FCFA90>,how was this image taken?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929FCFB20>,where is the lesion?,in the right hilum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x17929FCFBB0>,which lobe is the lesion located in?,upper right lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x17929FCFC40>,is there any inappropriate air collection in subcutaneous tissue?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=942x774 at 0x17929FCFCD0>,is subcutaneous air present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x17929FCFD60>,is the mass compressing the mid brain on this section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17929FCFDF0>,where on the image is most obscured?,right lung base
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x17929FCFE80>,is the costophrenic angle blunted?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x17929FCFF10>,what are the opacities to the left?,contrast in the intestines
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x501 at 0x17929FCFF70>,is there any hemorrhage?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A0400A0>,what are those densities in the wall of the aorta?,calcifications
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A040130>,what is the radiological description of the color of the edema?,hypodense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=323x322 at 0x1792A0401C0>,is the cerebellum visible?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x557 at 0x1792A040250>,is this an axial image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1792A0402E0>,is the liver normal in size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A040370>,is this film properly exposed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x747 at 0x1792A040400>,is the mass pushing on the midbrain structures?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1792A040490>,is it possible to see the cerebellum in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=762x630 at 0x1792A040520>,is the heart dilated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1792A0405B0>,in which lobe is the nodule located?,left upper lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x480 at 0x1792A040640>,is the patient's kidney this large mass to the right?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1792A0406D0>,are these small opacities in the right lung calcifications?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1792A040760>,is there any shifting on the path of the trachea?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1792A0407F0>,is there swelling of the choroid fissure?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=323x322 at 0x1792A040880>,is this a mri image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=296x336 at 0x1792A040910>,is there swelling around the lesion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1792A0409A0>,what is the organ principally shown in this image?,lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x1792A040A30>,are brain structures shifted across the midline?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=370x495 at 0x1792A040AC0>,are the basal ganglia enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=318x391 at 0x1792A040B50>,is there any other alteration in the image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=843x768 at 0x1792A040BE0>,what are those lines in the posterior brain?,imaging artifacts
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x566 at 0x1792A040C70>,is the medulla swollen?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x910 at 0x1792A040D00>,what are these densities inside the intestines?,contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x1792A040D90>,what is the name of this image's plane?,posteroanterior
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=305x427 at 0x1792A040E20>,is the lesion infiltrating?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=759x611 at 0x1792A040EB0>,is the abdomen distended?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1792A040F40>,is there leakage of contrast?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=323x322 at 0x1792A040FD0>,in which lobe is the enhancement?,right frontal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x1792A041060>,is there a midline shift of the cerebral parenchyma?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1030 at 0x1792A0410F0>,is this a solitary nodule?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1792A041180>,is there ascites?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=370x495 at 0x1792A041210>,is there any hemorrhage?,no
